No.;Time;;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
680;2,167954;;104.109.129.114;192,168,1,3;;;2,167954;2,167955;1,00E-06;;-0,000142;0,000143;0,000285
681;2,167955;;104.109.129.114;192,168,1,3;;;2,167955;2,168098;0,000143;;-2,40E-05;0,000167;0,000191
682;2,168098;;192,168,1,3;104.109.129.114;;;2,168098;2,168265;0,000167;;7,90E-05;8,80E-05;9,00E-06
685;2,168265;;104.109.129.114;192,168,1,3;;;2,168265;2,168353;8,80E-05;;-0,044405;0,044493;0,088898
686;2,168353;;192,168,1,3;104.109.129.114;;;2,168353;2,212846;0,044493;;0,044492;1,00E-06;-0,044491
693;2,212846;;104.109.129.114;192,168,1,3;;;2,212846;2,212847;1,00E-06;;0;1,00E-06;1,00E-06
694;2,212847;;104.109.129.114;192,168,1,3;;;2,212847;2,212848;1,00E-06;;1,00E-06;0;-1,00E-06
695;2,212848;;104.109.129.114;192,168,1,3;;;2,212848;2,212848;0;;-0,000147;0,000147;0,000294
696;2,212848;;104.109.129.114;192,168,1,3;;;2,212848;2,212995;0,000147;;-0,015894;0,016041;0,031935
697;2,212995;;192,168,1,3;104.109.129.114;;;2,212995;2,229036;0,016041;;-0,019693;0,035734;0,055427
700;2,229036;;192,168,1,3;104.109.129.114;;;2,229036;2,26477;0,035734;;0,031713;0,004021;-0,027692
706;2,26477;;144,195,42,75;192,168,1,3;;;2,26477;2,268791;0,004021;;-0,008082;0,012103;0,020185
708;2,268791;;104.109.129.114;192,168,1,3;;;2,268791;2,280894;0,012103;;0,010394;0,001709;-0,008685
711;2,280894;;192,168,1,3;144,195,42,75;;;2,280894;2,282603;0,001709;;-0,008263;0,009972;0,018235
714;2,282603;;192,168,1,3;104.109.129.114;;;2,282603;2,292575;0,009972;;-0,002855;0,012827;0,015682
715;2,292575;;192,168,1,3;104.109.129.114;;;2,292575;2,305402;0,012827;;0,011568;0,001259;-0,010309
721;2,305402;;192,168,1,3;104.109.129.114;;;2,305402;2,306661;0,001259;;-0,00261;0,003869;0,006479
722;2,306661;;192,168,1,3;104.109.129.114;;;2,306661;2,31053;0,003869;;0,00378;8,90E-05;-0,003691
725;2,31053;;104.109.129.114;192,168,1,3;;;2,31053;2,310619;8,90E-05;;-0,005045;0,005134;0,010179
726;2,310619;;192,168,1,3;104.109.129.114;;;2,310619;2,315753;0,005134;;-0,002902;0,008036;0,010938
727;2,315753;;192,168,1,3;104.109.129.114;;;2,315753;2,323789;0,008036;;-0,009598;0,017634;0,027232
732;2,323789;;72.246.222.152;192,168,1,3;;;2,323789;2,341423;0,017634;;0,016066;0,001568;-0,014498
733;2,341423;;192,168,1,3;72.246.222.152;;;2,341423;2,342991;0,001568;;0,001567;1,00E-06;-0,001566
735;2,342991;;104.109.129.114;192,168,1,3;;;2,342991;2,342992;1,00E-06;;4,44E-16;1,00E-06;1,00E-06
736;2,342992;;104.109.129.114;192,168,1,3;;;2,342992;2,342993;1,00E-06;;1,00E-06;0;-1,00E-06
737;2,342993;;104.109.129.114;192,168,1,3;;;2,342993;2,342993;0;;-0,000245;0,000245;0,00049
738;2,342993;;104.109.129.114;192,168,1,3;;;2,342993;2,343238;0,000245;;-0,0004;0,000645;0,001045
740;2,343238;;192,168,1,3;104.109.129.114;;;2,343238;2,343883;0,000645;;0,000548;9,70E-05;-0,000451
741;2,343883;;104.109.129.114;192,168,1,3;;;2,343883;2,34398;9,70E-05;;-0,051722;0,051819;0,103541
742;2,34398;;192,168,1,3;104.109.129.114;;;2,34398;2,395799;0,051819;;0,05076;0,001059;-0,049701
759;2,395799;;104.109.129.114;192,168,1,3;;;2,395799;2,396858;0,001059;;-0,008943;0,010002;0,018945
760;2,396858;;144,195,42,75;192,168,1,3;;;2,396858;2,40686;0,010002;;0,009001;0,001001;-0,008
762;2,40686;;192,168,1,3;144,195,42,75;;;2,40686;2,407861;0,001001;;0,000856;0,000145;-0,000711
765;2,407861;;104.109.129.114;192,168,1,3;;;2,407861;2,408006;0,000145;;-0,000689;0,000834;0,001523
766;2,408006;;192,168,1,3;104.109.129.114;;;2,408006;2,40884;0,000834;;0,000713;0,000121;-0,000592
767;2,40884;;104.109.129.114;192,168,1,3;;;2,40884;2,408961;0,000121;;-0,004708;0,004829;0,009537
768;2,408961;;192,168,1,3;104.109.129.114;;;2,408961;2,41379;0,004829;;0,004686;0,000143;-0,004543
769;2,41379;;104.109.129.114;192,168,1,3;;;2,41379;2,413933;0,000143;;-0,008336;0,008479;0,016815
770;2,413933;;192,168,1,3;104.109.129.114;;;2,413933;2,422412;0,008479;;0,005473;0,003006;-0,002467
771;2,422412;;192,168,1,3;104.109.129.114;;;2,422412;2,425418;0,003006;;-1,20E-05;0,003018;0,00303
772;2,425418;;192,168,1,3;104.109.129.114;;;2,425418;2,428436;0,003018;;0,002626;0,000392;-0,002234
775;2,428436;;192,168,1,3;104.109.129.114;;;2,428436;2,428828;0,000392;;0,000265;0,000127;-0,000138
776;2,428828;;104.109.129.114;192,168,1,3;;;2,428828;2,428955;0,000127;;-0,000615;0,000742;0,001357
777;2,428955;;192,168,1,3;104.109.129.114;;;2,428955;2,429697;0,000742;;-0,023358;0,0241;0,047458
778;2,429697;;192,168,1,3;104.109.129.114;;;2,429697;2,453797;0,0241;;-0,008481;0,032581;0,041062
782;2,453797;;104.109.129.114;192,168,1,3;;;2,453797;2,486378;0,032581;;-0,003877;0,036458;0,040335
791;2,486378;;192,168,1,3;104.109.129.114;;;2,486378;2,522836;0,036458;;0,036457;1,00E-06;-0,036456
809;2,522836;;104.109.129.114;192,168,1,3;;;2,522836;2,522837;1,00E-06;;-0,00098;0,000981;0,001961
810;2,522837;;104.109.129.114;192,168,1,3;;;2,522837;2,523818;0,000981;;2,80E-05;0,000953;0,000925
811;2,523818;;104.109.129.114;192,168,1,3;;;2,523818;2,524771;0,000953;;0,000948;5,00E-06;-0,000943
814;2,524771;;104.109.129.114;192,168,1,3;;;2,524771;2,524776;5,00E-06;;4,00E-06;1,00E-06;-3,00E-06
815;2,524776;;104.109.129.114;192,168,1,3;;;2,524776;2,524777;1,00E-06;;-0,000144;0,000145;0,000289
816;2,524777;;104.109.129.114;192,168,1,3;;;2,524777;2,524922;0,000145;;-0,000826;0,000971;0,001797
817;2,524922;;192,168,1,3;104.109.129.114;;;2,524922;2,525893;0,000971;;0,000902;6,90E-05;-0,000833
818;2,525893;;104.109.129.114;192,168,1,3;;;2,525893;2,525962;6,90E-05;;-0,001785;0,001854;0,003639
819;2,525962;;192,168,1,3;104.109.129.114;;;2,525962;2,527816;0,001854;;0,001458;0,000396;-0,001062
820;2,527816;;144,195,42,75;192,168,1,3;;;2,527816;2,528212;0,000396;;-0,00751;0,007906;0,015416
821;2,528212;;192,168,1,3;144,195,42,75;;;2,528212;2,536118;0,007906;;0,007905;1,00E-06;-0,007904
826;2,536118;;104.109.129.114;192,168,1,3;;;2,536118;2,536119;1,00E-06;;-4,44E-16;1,00E-06;1,00E-06
827;2,536119;;104.109.129.114;192,168,1,3;;;2,536119;2,53612;1,00E-06;;1,00E-06;0;-1,00E-06
828;2,53612;;104.109.129.114;192,168,1,3;;;2,53612;2,53612;0;;-0,000154;0,000154;0,000308
829;2,53612;;104.109.129.114;192,168,1,3;;;2,53612;2,536274;0,000154;;-0,000509;0,000663;0,001172
